Distance,Value
59.1,"{'Distance': 59.1, 'Time': '2022-02-06 12:57:00.907876', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 12:57:02.751222', 'value': 0}"
31.36,"{'Distance': 31.36, 'Time': '2022-02-06 12:57:05.078468', 'value': 1}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 12:57:06.927318', 'value': 0}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:57:08.735916', 'value': 0}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 12:57:10.585721', 'value': 0}"
22.01,"{'Distance': 22.01, 'Time': '2022-02-06 12:57:12.901050', 'value': 1}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:57:14.694041', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:57:16.551220', 'value': 0}"
59.59,"{'Distance': 59.59, 'Time': '2022-02-06 12:57:18.380436', 'value': 0}"
64.92,"{'Distance': 64.92, 'Time': '2022-02-06 12:57:20.240572', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 12:57:22.057842', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:57:23.878604', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:57:25.715990', 'value': 0}"
18.99,"{'Distance': 18.99, 'Time': '2022-02-06 12:57:28.024682', 'value': 1}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 12:57:29.873883', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:57:31.700030', 'value': 0}"
44.07,"{'Distance': 44.07, 'Time': '2022-02-06 12:57:34.021765', 'value': 1}"
10.28,"{'Distance': 10.28, 'Time': '2022-02-06 12:57:36.324058', 'value': 1}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 12:57:38.159955', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:57:39.974056', 'value': 0}"
28.75,"{'Distance': 28.75, 'Time': '2022-02-06 12:57:42.298272', 'value': 1}"
59.54,"{'Distance': 59.54, 'Time': '2022-02-06 12:57:44.168971', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:57:45.985559', 'value': 0}"
59.22,"{'Distance': 59.22, 'Time': '2022-02-06 12:57:47.821211', 'value': 0}"
24.82,"{'Distance': 24.82, 'Time': '2022-02-06 12:57:50.142161', 'value': 1}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 12:57:51.970637', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:57:53.811766', 'value': 0}"
59.57,"{'Distance': 59.57, 'Time': '2022-02-06 12:57:55.654522', 'value': 0}"
61.79,"{'Distance': 61.79, 'Time': '2022-02-06 12:57:57.646561', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:57:59.854264', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:58:01.660872', 'value': 0}"
35.68,"{'Distance': 35.68, 'Time': '2022-02-06 12:58:03.957241', 'value': 1}"
59.09,"{'Distance': 59.09, 'Time': '2022-02-06 12:58:05.822283', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:58:07.649753', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:58:09.458229', 'value': 0}"
29.49,"{'Distance': 29.49, 'Time': '2022-02-06 12:58:11.808748', 'value': 1}"
59.58,"{'Distance': 59.58, 'Time': '2022-02-06 12:58:13.667639', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:58:15.476582', 'value': 0}"
60.39,"{'Distance': 60.39, 'Time': '2022-02-06 12:58:17.304477', 'value': 0}"
55.23,"{'Distance': 55.23, 'Time': '2022-02-06 12:58:19.656167', 'value': 1}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:58:21.481591', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:58:23.285378', 'value': 0}"
50.97,"{'Distance': 50.97, 'Time': '2022-02-06 12:58:25.606399', 'value': 1}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 12:58:27.443941', 'value': 0}"
59.21,"{'Distance': 59.21, 'Time': '2022-02-06 12:58:29.294953', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:58:31.111991', 'value': 0}"
42.98,"{'Distance': 42.98, 'Time': '2022-02-06 12:58:33.451626', 'value': 1}"
59.08,"{'Distance': 59.08, 'Time': '2022-02-06 12:58:35.263532', 'value': 0}"
59.57,"{'Distance': 59.57, 'Time': '2022-02-06 12:58:37.089446', 'value': 0}"
59.94,"{'Distance': 59.94, 'Time': '2022-02-06 12:58:38.945385', 'value': 0}"
34.77,"{'Distance': 34.77, 'Time': '2022-02-06 12:58:41.312121', 'value': 1}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:58:43.124040', 'value': 0}"
59.59,"{'Distance': 59.59, 'Time': '2022-02-06 12:58:44.958542', 'value': 0}"
59.61,"{'Distance': 59.61, 'Time': '2022-02-06 12:58:46.789549', 'value': 0}"
30.19,"{'Distance': 30.19, 'Time': '2022-02-06 12:58:49.135046', 'value': 1}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:58:50.984896', 'value': 0}"
59.09,"{'Distance': 59.09, 'Time': '2022-02-06 12:58:52.799508', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 12:58:54.642446', 'value': 0}"
61.03,"{'Distance': 61.03, 'Time': '2022-02-06 12:58:56.492965', 'value': 0}"
58.79,"{'Distance': 58.79, 'Time': '2022-02-06 12:58:58.823790', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 12:59:00.923249', 'value': 0}"
60.47,"{'Distance': 60.47, 'Time': '2022-02-06 12:59:02.765673', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:59:04.614279', 'value': 0}"
59.61,"{'Distance': 59.61, 'Time': '2022-02-06 12:59:06.441539', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:59:08.289009', 'value': 0}"
